@RELATION Sora

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE step_9 NUMERIC
@ATTRIBUTE step_16 NUMERIC
@ATTRIBUTE step_13 NUMERIC
@ATTRIBUTE step_14 NUMERIC
@ATTRIBUTE step_5 NUMERIC
@ATTRIBUTE step_11 NUMERIC
@ATTRIBUTE step_1 NUMERIC
@ATTRIBUTE step_4 NUMERIC
@ATTRIBUTE step_3 NUMERIC
@ATTRIBUTE step_8 NUMERIC
@ATTRIBUTE step_12 NUMERIC
@ATTRIBUTE step_15 NUMERIC
@ATTRIBUTE step_7 NUMERIC
@ATTRIBUTE step_10 NUMERIC
@ATTRIBUTE step_6 NUMERIC
@ATTRIBUTE step_2 NUMERIC

@DATA
instance_67,1.0,0.4,5.1,3.208,2.092,4.864,0.304,0.028,0.012,0.02,0.015999999999999997,0.0,0.023999999999999997,0.012,0.004,0.02,0.136
instance_71,1.0,57.968,15.58,20.696,12.996,16.1,18.072,1.268,0.6839999999999999,0.0,1.9720000000000002,0.040000000000000036,0.0,0.5760000000000001,0.43199999999999994,1.332,16.976
instance_72,1.0,0.444,5.04,0.684,2.04,4.824,0.136,0.016,0.008,0.019999999999999997,0.008,0.0,0.024,0.008,0.004,0.012,0.572
instance_73,1.0,0.14,5.028,0.596,2.032,4.896,0.116,0.016,0.004,0.008,0.004,0.0,0.008,0.004,0.0,0.004,0.052
instance_74,1.0,28.476,9.284,14.404,6.16,8.652,9.908,0.94,0.45999999999999996,2.08,0.52,0.008000000000000007,2.312,0.3880000000000001,0.3320000000000001,0.792,43.268
instance_76,1.0,20.876,0.84,10.44,2.436,4.84,3.464,0.104,0.032000000000000015,0.43200000000000005,0.039999999999999994,0.0,0.476,0.02800000000000001,0.024000000000000007,0.06000000000000001,4.0
instance_77,1.0,20.264,0.248,4.796,2.184,4.736,1.972,0.04,0.011999999999999997,0.224,0.016,0.0,0.26,0.011999999999999997,0.036,0.019999999999999997,1.06
instance_79,1.0,0.072,4.992,0.136,2.028,4.96,0.048,0.012,0.004,0.004,0.0,0.0,0.004,0.0,0.0,0.004,0.024
instance_80,1.0,0.084,5.136,0.196,2.024,4.852,0.064,0.012,0.0,0.008,0.004,0.0,0.008,0.004,0.0,0.004,0.024
instance_81,1.0,0.1,5.0,0.272,2.02,4.832,0.076,0.012,0.004,0.008,0.004,0.0,0.008,0.004,0.0,0.008,0.028
instance_82,1.0,0.092,5.088,0.18,2.012,4.864,0.044,0.008,0.004,0.008,0.004,0.0,0.012,0.004,0.004,0.004,0.016
instance_83,1.0,0.052,4.98,0.06,2.004,4.848,0.024,0.008,0.004,0.004,0.0,0.0,0.008,0.0,0.0,0.004,0.012
instance_85,1.0,0.0,45.388,50.448,42.412,53.96,63.28,8.212,3.048,0.0,8.751999999999999,0.0519999999999996,0.0,2.944000000000001,3.9640000000000004,0.0,53.988
instance_86,1.0,0.932,5.104,3.584,2.104,4.7,0.424,0.032,0.008,0.188,0.011999999999999997,0.0,0.064,0.016,0.011999999999999997,0.016,0.18
instance_89,1.0,3.696,5.712,10.736,2.724,5.156,2.16,0.088,0.05200000000000002,0.132,0.055999999999999994,0.0040000000000000036,0.168,0.04000000000000001,0.024000000000000007,0.07600000000000001,0.792
instance_91,1.0,3.644,5.716,10.748,2.724,5.052,2.144,0.088,0.05200000000000002,0.136,0.055999999999999994,0.0040000000000000036,0.168,0.04000000000000001,0.024000000000000007,0.07600000000000001,0.8
instance_93,1.0,11.916,5.764,10.784,2.788,5.2,2.552,0.224,0.11200000000000002,0.30400000000000005,0.11999999999999997,0.011999999999999983,0.364,0.08399999999999999,0.05999999999999997,0.17200000000000001,1.048
instance_94,1.0,11.7,5.784,10.784,2.808,5.244,2.408,0.236,0.10799999999999998,0.30800000000000005,0.11599999999999999,0.0,0.364,0.07600000000000001,0.04799999999999999,0.16400000000000003,0.952
instance_95,1.0,20.196,5.056,2.704,2.068,4.332,0.928,0.04,0.008,3.496,0.011999999999999997,0.0,2.628,0.011999999999999997,0.04,0.011999999999999997,0.088
instance_96,1.0,0.264,5.0,0.008,2.004,4.58,0.024,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016
instance_97,1.0,33.772,9.88,14.932,6.86,9.784,11.064,0.816,0.33999999999999997,4.16,0.4880000000000001,0.0,4.636,0.384,0.42800000000000005,0.68,4.912
instance_101,1.0,5.424,5.428,10.444,2.44,4.896,3.96,0.112,0.044,0.21200000000000002,0.052000000000000005,0.0040000000000000036,0.21200000000000002,0.03599999999999999,0.196,0.06799999999999999,0.556
instance_103,1.0,5.42,5.448,10.444,2.428,4.904,3.96,0.116,0.039999999999999994,0.21200000000000002,0.048,0.0,0.20800000000000002,0.03199999999999999,0.196,0.076,0.556
instance_104,1.0,5.368,5.42,10.444,2.44,4.86,3.912,0.112,0.048,0.21600000000000003,0.05600000000000001,0.0040000000000000036,0.21200000000000002,0.03599999999999999,0.2,0.076,0.552
instance_105,1.0,14.924,5.508,10.496,2.476,4.888,5.992,0.156,0.064,0.44799999999999995,0.068,0.0040000000000000036,0.384,0.04400000000000001,0.856,0.1,0.604
instance_106,1.0,15.036,5.476,10.5,2.452,4.912,5.912,0.156,0.068,0.45199999999999996,0.07600000000000001,0.0040000000000000036,0.392,0.04799999999999999,0.864,0.10800000000000001,0.596
instance_107,1.0,14.9,5.48,10.492,2.468,4.936,5.964,0.16,0.06,0.45199999999999996,0.07200000000000001,0.0,0.388,0.043999999999999984,0.86,0.10400000000000001,0.612
instance_108,1.0,14.984,5.468,10.5,2.492,4.924,5.92,0.156,0.05199999999999999,0.43599999999999994,0.06,0.0,0.376,0.04000000000000001,0.84,0.088,0.616
instance_110,1.0,33.588,9.48,14.532,6.48,8.972,10.12,0.52,0.26,3.82,0.38,0.0,3.7479999999999998,0.248,0.14800000000000002,0.476,5.332
instance_111,1.0,12.364,5.332,9.492,2.328,4.804,0.88,0.068,0.032,0.132,0.044,0.0,0.156,0.027999999999999997,0.016,0.05199999999999999,0.792
instance_112,1.0,27.876,12.224,17.256,9.292,11.808,13.148,0.404,0.21199999999999997,2.904,0.32399999999999995,0.0,3.18,0.19199999999999995,0.128,0.392,15.024
instance_115,1.0,9.048,5.724,10.748,2.728,5.16,2.216,0.224,0.092,0.596,0.11999999999999997,0.0,0.648,0.1,0.06799999999999998,0.164,0.772
instance_117,1.0,0.184,5.028,0.936,2.02,4.88,0.104,0.016,0.004,0.016,0.008,0.0,0.024,0.004,0.004,0.008,0.028
instance_118,1.0,0.188,0.044,0.936,2.028,4.896,0.108,0.02,0.0,0.02,0.004,0.0,0.023999999999999997,0.0,0.004,0.004,0.028
instance_119,1.0,0.192,5.02,0.932,2.02,4.824,0.108,0.016,0.004,0.019999999999999997,0.004,0.0,0.024,0.0,0.004,0.008,0.028
instance_120,1.0,0.192,5.02,0.948,2.028,4.704,0.108,0.02,0.004,0.02,0.004,0.0,0.028,0.004,0.004,0.008,0.028
instance_121,1.0,0.188,5.02,0.928,2.02,4.936,0.108,0.016,0.008,0.019999999999999997,0.004,0.0,0.024,0.004,0.004,0.008,0.028
instance_124,1.0,0.188,0.084,0.948,2.032,4.764,0.108,0.02,0.0,0.015999999999999997,0.004,0.0,0.023999999999999997,0.0,0.0,0.004,0.028
instance_125,1.0,0.196,5.02,0.94,2.032,4.816,0.108,0.02,0.0,0.015999999999999997,0.004,0.0,0.02,0.0,0.0,0.004,0.028
instance_128,1.0,0.184,5.012,0.932,2.02,4.788,0.104,0.016,0.004,0.016,0.004,0.0,0.024,0.004,0.004,0.008,0.028
instance_130,1.0,0.192,5.048,0.936,2.02,4.828,0.108,0.016,0.008,0.019999999999999997,0.008,0.004,0.027999999999999997,0.004,0.008,0.008,0.028
instance_131,1.0,0.188,5.024,0.936,2.024,4.84,0.112,0.016,0.004,0.016,0.004,0.0,0.024,0.004,0.004,0.008,0.028
instance_132,1.0,0.192,5.024,0.928,2.02,4.868,0.108,0.016,0.004,0.019999999999999997,0.004,0.0,0.024,0.004,0.004,0.008,0.028
instance_134,1.0,0.192,5.024,0.936,2.02,4.784,0.108,0.016,0.004,0.016,0.004,0.0,0.024,0.0,0.004,0.008,0.032
instance_135,1.0,0.188,5.02,0.944,2.024,4.896,0.104,0.016,0.004,0.016,0.004,0.0,0.024,0.004,0.004,0.008,0.028
instance_136,1.0,0.188,5.024,0.952,2.028,4.808,0.104,0.016,0.004,0.019999999999999997,0.004,0.0,0.019999999999999997,0.004,0.004,0.004,0.028
instance_139,1.0,0.184,0.04,0.96,2.024,4.724,0.104,0.02,0.0,0.015999999999999997,0.0,0.0,0.023999999999999997,0.0,0.0,0.004,0.028
instance_140,1.0,0.188,5.02,0.948,2.016,4.772,0.108,0.016,0.004,0.019999999999999997,0.004,0.0,0.024,0.004,0.004,0.008,0.028
instance_141,1.0,0.192,0.52,0.94,2.02,4.768,0.108,0.02,0.0,0.015999999999999997,0.0,0.0,0.02,0.0,0.0,0.004,0.028
instance_142,1.0,0.188,0.044,0.956,2.02,4.896,0.108,0.016,0.008,0.019999999999999997,0.008,0.004,0.027999999999999997,0.004,0.004,0.012,0.028
instance_143,1.0,0.188,5.024,0.928,2.024,4.868,0.108,0.016,0.004,0.019999999999999997,0.008,0.0,0.027999999999999997,0.004,0.004,0.008,0.028
instance_144,1.0,0.192,5.02,0.956,2.024,4.892,0.108,0.02,0.004,0.015999999999999997,0.004,0.0,0.023999999999999997,0.0,0.0,0.004,0.028
instance_146,1.0,21.176,5.56,10.608,2.552,4.984,2.416,0.124,0.04400000000000001,1.2799999999999998,0.064,0.0,1.2400000000000002,0.04400000000000001,0.055999999999999994,0.08399999999999999,1.968
instance_147,1.0,0.204,5.028,0.916,2.04,4.8,0.136,0.02,0.004,0.012,0.008,0.0,0.015999999999999997,0.004,0.004,0.008,0.104
instance_148,1.0,1.284,5.344,10.212,2.192,4.676,0.548,0.052,0.028000000000000004,0.064,0.036,0.0,0.08000000000000002,0.019999999999999997,0.012000000000000004,0.04,0.696
instance_149,1.0,11.572,5.76,10.824,2.776,5.076,2.18,0.196,0.10799999999999998,0.36799999999999994,0.15999999999999998,0.0040000000000000036,0.428,0.09599999999999997,0.04799999999999999,0.188,4.228
instance_150,1.0,35.092,6.26,11.312,3.352,5.576,6.8,0.12,0.01200000000000001,0.0,0.020000000000000018,0.008000000000000007,2.252,0.032,0.068,0.048000000000000015,25.552
instance_151,1.0,38.18,8.056,13.012,5.108,7.692,10.2,0.28,0.023999999999999966,0.0,0.03199999999999997,0.007999999999999952,7.919999999999999,0.06399999999999995,0.15199999999999997,0.10399999999999998,69.976
instance_152,1.0,47.528,9.192,14.168,6.104,9.016,10.912,0.784,0.3400000000000001,0.0,0.5,0.03199999999999992,21.608,0.29600000000000004,0.3919999999999999,0.6679999999999999,9.02
instance_153,1.0,83.604,11.424,16.516,8.512,11.836,14.552,1.208,0.472,0.0,0.724,0.016000000000000014,0.0,0.41999999999999993,0.5880000000000001,0.9480000000000002,12.86
instance_154,1.0,39.684,7.752,12.764,4.772,7.648,9.208,0.652,0.252,3.1479999999999997,0.30399999999999994,0.01200000000000001,3.636,0.248,0.23199999999999998,0.4959999999999999,3.92
instance_155,1.0,39.592,7.676,12.704,4.72,7.54,9.152,0.656,0.244,3.1039999999999996,0.28,0.0040000000000000036,3.6199999999999997,0.23199999999999998,0.22799999999999998,0.4839999999999999,3.744
instance_156,1.0,41.488,7.768,12.752,4.752,7.492,9.268,0.644,0.244,3.1119999999999997,0.28400000000000003,0.008000000000000007,3.604,0.236,0.22399999999999998,0.4680000000000001,3.772
instance_158,1.0,27.348,6.716,11.672,3.684,6.16,7.868,0.352,0.17600000000000005,1.7840000000000003,0.19200000000000006,0.0040000000000000036,2.048,0.16800000000000004,0.476,0.29200000000000004,7.036
instance_159,1.0,36.356,7.368,12.368,4.428,7.052,8.292,0.488,0.22399999999999998,2.908,0.252,0.0,3.392,0.24,0.724,0.384,9.844
instance_162,1.0,37.1,9.256,14.284,6.252,8.98,10.4,0.812,0.3959999999999999,1.4000000000000001,0.45999999999999996,0.0,1.4839999999999998,0.35199999999999987,0.268,0.744,58.616
instance_163,1.0,50.452,9.724,14.74,6.792,9.64,11.348,0.92,0.45599999999999985,1.8240000000000003,0.5279999999999999,0.0,1.988,0.40800000000000003,0.31199999999999994,0.836,71.64
instance_164,1.0,79.428,11.276,16.42,8.48,11.596,13.472,1.32,0.6199999999999999,3.096,0.788,0.01200000000000001,3.348,0.5999999999999999,0.45199999999999996,1.0839999999999999,163.28
instance_165,1.0,73.764,11.328,16.356,8.264,11.38,13.884,1.2,0.54,2.708,0.6720000000000002,0.0,2.992,0.552,0.41600000000000015,0.9920000000000002,120.08
instance_166,1.0,19.348,7.896,12.9,4.936,7.472,7.32,0.54,0.264,0.8280000000000001,0.33599999999999997,0.0040000000000000036,0.8999999999999999,0.236,0.18399999999999994,0.476,42.06
instance_167,1.0,35.296,8.956,13.96,6.008,8.828,10.24,0.752,0.3560000000000001,1.4400000000000002,0.3919999999999999,0.008000000000000007,1.5719999999999998,0.32400000000000007,0.264,0.6599999999999999,61.752
instance_168,1.0,51.448,9.84,14.884,6.776,9.716,11.804,0.94,0.3680000000000001,1.8559999999999999,0.472,0.0,2.0,0.31600000000000006,0.28400000000000003,0.736,107.744
instance_170,1.0,91.244,7.264,12.32,4.388,7.272,9.104,0.84,0.384,2.4040000000000004,0.42000000000000004,0.01200000000000001,2.8920000000000003,0.33999999999999997,0.2320000000000001,0.604,2.868
instance_171,1.0,39.008,10.156,15.176,7.148,9.908,12.008,0.512,0.18799999999999994,0.0,0.276,0.008000000000000007,0.0,0.16800000000000004,0.5,0.392,12.756
instance_172,1.0,105.556,54.312,59.228,51.076,55.176,58.528,2.756,1.052,0.0,1.3439999999999999,0.10400000000000009,0.0,1.032,1.6040000000000005,2.3960000000000004,49.22
instance_174,1.0,22.332,5.46,4.632,2.464,4.616,5.48,0.08,0.0040000000000000036,15.7,0.007999999999999993,0.0,1.204,0.016,0.036000000000000004,0.020000000000000004,8.856
instance_175,1.0,31.264,5.612,7.612,2.644,4.86,6.068,0.1,0.011999999999999997,0.0,0.016,0.00399999999999999,1.744,0.023999999999999994,0.055999999999999994,0.032,16.276
instance_176,1.0,22.436,5.412,2.612,2.424,4.556,3.108,0.06,0.008000000000000007,12.788,0.008000000000000007,0.0,0.6599999999999999,0.011999999999999997,0.024000000000000007,0.016,5.104
instance_178,1.0,26.844,5.564,5.232,2.632,4.764,5.452,0.076,0.0,17.668,0.0040000000000000036,0.0,1.008,0.011999999999999997,0.032,0.020000000000000004,11.224
instance_179,1.0,24.98,5.656,5.7,2.644,4.832,6.168,0.084,0.007999999999999993,0.0,0.011999999999999997,0.00399999999999999,1.212,0.01999999999999999,0.044,0.023999999999999994,11.12
instance_180,1.0,27.936,5.952,10.952,2.936,5.16,6.352,0.116,0.011999999999999997,0.0,0.011999999999999997,0.0,2.08,0.024000000000000007,0.06799999999999999,0.03199999999999999,19.184
instance_185,1.0,28.06,7.776,12.792,4.796,7.284,8.504,0.296,0.09200000000000003,0.0,0.136,0.0,12.604000000000001,0.09600000000000003,0.23600000000000004,0.2,5.564
instance_186,1.0,16.324,5.068,3.192,2.064,4.624,0.248,0.032,0.008,0.172,0.008,0.0,0.168,0.008,0.003999999999999997,0.016,1.356
instance_187,1.0,24.672,6.5,11.52,3.528,5.936,5.596,0.372,0.14,2.3440000000000003,0.16400000000000003,0.0,2.464,0.128,0.12,0.264,2.612
instance_190,1.0,0.236,5.028,0.472,2.024,4.944,0.116,0.016,0.004,0.052000000000000005,0.004,0.0,0.048,0.0,0.004,0.008,0.04
instance_191,1.0,71.364,13.272,18.3,10.348,13.396,16.044,1.76,0.8720000000000001,5.66,0.9760000000000002,0.020000000000000018,6.4719999999999995,0.6679999999999999,0.8280000000000001,1.64,26.78
instance_192,1.0,9.408,6.164,11.18,3.18,5.516,3.064,0.284,0.15200000000000002,0.38000000000000006,0.18000000000000005,0.01200000000000001,0.464,0.11600000000000005,0.08000000000000002,0.25200000000000006,1.292
instance_193,1.0,37.144,7.84,15.112,7.0,9.82,11.388,0.704,0.30000000000000004,0.0,0.43199999999999994,0.008000000000000007,19.912,0.244,0.31600000000000006,0.5680000000000001,19.468
instance_194,1.0,1470.96,57.384,62.316,54.392,64.604,73.224,7.476,2.7239999999999993,0.0,5.056,0.0,0.0,2.2960000000000003,3.1960000000000006,6.271999999999999,66.716
instance_196,1.0,21.644,5.756,10.78,2.756,5.212,2.648,0.168,0.08399999999999999,0.82,0.10800000000000001,0.0,0.888,0.06799999999999998,0.06,0.13999999999999999,6.7
instance_199,1.0,38.064,7.004,12.072,4.024,6.52,5.936,0.484,0.24,2.036,0.36,0.0,2.056,0.19600000000000006,0.09999999999999998,0.44800000000000006,16.908
instance_201,1.0,26.416,7.38,12.452,4.368,7.596,9.512,0.732,0.12,0.0,0.16400000000000003,0.0,11.896,0.24,0.43999999999999995,0.44399999999999995,2.892
instance_202,1.0,23.672,7.236,12.244,4.164,7.296,9.536,0.648,0.06399999999999995,0.0,0.09599999999999997,0.0,6.38,0.17199999999999993,0.29599999999999993,0.28400000000000003,2.26
instance_203,1.0,21.336,5.952,10.956,2.932,5.452,7.096,0.284,0.03600000000000003,0.0,0.04800000000000004,0.0040000000000000036,2.1,0.08400000000000002,0.132,0.14400000000000002,1.096
instance_204,1.0,22.692,6.736,11.796,3.724,6.724,8.34,0.548,0.04799999999999993,0.0,0.06399999999999995,0.0,4.968,0.136,0.26,0.21199999999999997,1.872
instance_205,1.0,22.492,6.592,11.628,3.58,6.456,8.412,0.492,0.07199999999999995,0.0,0.09199999999999997,0.01200000000000001,4.376,0.14400000000000002,0.244,0.256,1.716
instance_206,1.0,21.788,4.124,10.98,2.968,5.452,6.06,0.32,0.043999999999999984,0.0,0.06,0.0,3.672,0.09599999999999997,0.172,0.16799999999999998,1.1
